GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MyProject,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
MyProject,fr.univavignon.pokedex.api,PokemonFactory,0,44,0,0,0,7,0,3,0,3
MyProject,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
MyProject,fr.univavignon.pokedex.api,PokemonMetadataProvider,0,70,0,2,0,12,0,4,0,3
MyProject,fr.univavignon.pokedex.api,Pokedex,0,88,0,8,0,19,0,12,0,8
MyProject,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
MyProject,fr.univavignon.pokedex.api,PokemonTrainerFactory,0,19,0,0,0,3,0,2,0,2
MyProject,fr.univavignon.pokedex.api,PokedexFactory,0,9,0,0,0,2,0,2,0,2
MyProject,fr.univavignon.pokedex.api,PokemonLoader,0,129,0,8,0,27,0,7,0,3
MyProject,fr.univavignon.pokedex.api,PokemonTrainer,0,21,0,0,0,8,0,4,0,4
MyProject,fr.univavignon.pokedex.api,PokemonComparators,0,41,0,0,0,8,0,3,0,3
MyProject,fr.univavignon.pokedex.api,Pokemon,0,38,0,0,0,12,0,6,0,6
